,2012,2013,2014,2015,
"AFL',",2013-02-27,2014-02-27,2015-02-26,2016-02-25,
"AIG',",2013-02-21,2014-02-20,2015-02-20,2016-02-19,
"ALL',",2013-02-20,2014-02-20,2015-02-19,2016-02-19,
"AMG',",2013-02-22,2014-02-27,2015-02-23,2016-02-25,
"AMP',",2013-02-27,2014-02-27,2015-02-24,2016-02-25,
"AON',",2013-02-22,2014-02-18,2015-02-24,2016-02-22,
"AXP',",2013-02-22,2014-02-25,2015-02-24,2016-02-19,
"BAC',",2013-02-28,2014-02-25,2015-02-25,2016-02-24,
"BBT',",2013-03-01,2014-02-26,2015-02-25,2016-02-25,TFC
"BK',",2013-02-28,2014-02-28,2015-02-27,2016-02-26,
"C',",2013-03-01,2014-02-25,2015-02-28,2016-02-26,
"CB',",2013-03-28,2014-02-28,2015-02-27,2016-02-26,
"CINF',",2013-02-27,2014-02-27,2015-02-27,2016-02-26,
"CME',",2013-03-01,2014-03-03,2015-02-26,2016-02-26,
"COF',",2013-02-28,2014-02-27,2015-02-24,2016-02-25,
"ETFC',",2013-02-26,2014-02-25,2015-02-24,2016-02-24,
"HBAN',",2013-02-15,2014-02-14,2015-02-13,2016-02-17,
"HIG',",2013-03-01,2014-02-28,2015-02-27,2016-02-26,
"IVZ',",2013-02-22,2014-02-21,2015-02-20,2016-02-19,
,,,,,
"JPM',",2013-02-28,2014-02-20,2015-02-24,2016-02-23,
"LUK',",2013-01-29,2014-01-28,2015-01-29,2016-02-19,JEF
"MCO',",2013-02-26,2014-02-27,2015-02-26,2016-02-25,
"MET',",2013-02-27,2014-02-27,2015-02-27,2016-02-25,
"MMC',",2013-02-27,2014-02-27,2015-02-26,2016-02-24,
"MTB',",2013-02-25,2014-02-21,2015-02-20,2016-02-19,
"NDAQ',",2013-02-21,2014-02-24,2015-02-17,2016-02-26,
"NTRS',",2013-02-26,2014-02-26,2015-02-26,2016-02-29,
"PBCT',",2013-03-01,2014-03-03,2015-03-02,2016-02-29,
"PGR',",2013-02-26,2014-02-26,2015-03-02,2016-02-29,
"PNC',",2013-03-01,2014-03-03,2015-03-02,2016-02-29,
"PRU',",2013-02-22,2014-02-27,2015-02-20,2016-02-19,
"SCHW',",2013-02-22,2014-02-24,2015-02-23,2016-02-24,
"STI',",2013-02-27,2014-02-24,2015-02-24,2016-02-23,
"SYF',",,,,,filling date starts 2015
"TMK',",2013-02-28,2014-02-28,2015-02-27,2016-02-26,GL
"UNM',",2013-02-22,2014-02-26,2015-02-25,2016-02-24,
"WFC',",2013-02-27,2014-02-26,2015-02-25,2016-02-24,
"WLTW',",2013-02-28,2014-02-27,2015-02-24,2016-02-29,
"XL',",,,,,"acquired by axa, French Company"
ZION',2013-02-28,2014-03-03,2015-02-27,2016-02-29,
,,,,,
"AIV',",2013-02-25,2014-02-21,2015-02-27,2016-02-29,
"AVB',",2013-02-22,2014-03-03,2015-02-19,2016-02-26,
"BXP',",2013-02-23,2014-02-28,2015-03-02,2016-02-29,
"CCI',",2013-02-12,2014-02-24,2015-02-19,2016-02-22,
"EQIX',",2013-02-26,2014-02-28,2015-03-02,2016-02-26,
"EQR',",2013-02-21,2014-02-27,2015-02-26,2016-02-25,
"ESS',",2013-02-25,2014-02-26,2015-03-02,2016-02-26,
"GGP',",2013-,2014-,2015-,,aquired . how to deal with this?
"HCN',",2013-,2014-,2015-,,ummm
"HST',",2013-02-25,2014-02-26,2015-02-25,2016-02-22,
"IRM',",2013-,2014-,2015-,,ummm
"KIM',",2013-02-27,2014-02-26,2015-02-27,2016-02-26,
"MAA',",2013-02-22,2014-02-21,2015-02-25,2016-02-26,
"MAC',",2013-02-22,2014-02-21,2015-02-23,2016-02-23,
"O',",2013-02-14,2014-02-14,2015-02-18,2016-02-11,
"SLG',",2013-02-27,2014-02-25,2015-02-24,2016-02-29,
"SPG',",2013-02-28,2014-02-27,2015-02-27,2016-02-26,
"UDR',",2013-02-27,2014-02-25,2015-02-24,2016-02-23,
WY',2013-02-19,2014-02-18,2015-02-13,2016-02-17,
